DATE,VIX,SKEW,SPY,RUT
1/2/90,17.24,126.09,359.69,168.309998
1/3/90,18.19,123.34,358.76,169.960007
1/4/90,19.22,122.62,355.67,170.779999
1/5/90,20.11,121.27,352.2,170.089996
1/8/90,20.26,124.12,353.79,169.669998
1/9/90,22.2,119.82,349.62,169.539993
1/10/90,22.44,120.82,347.31,169.309998
1/11/90,20.05,107.48,348.53,167.929993
1/12/90,24.64,116.78,339.93,168.020004
1/15/90,26.34,116.16,337,164.369995
1/16/90,24.18,120.62,340.75,162.940002
1/17/90,24.16,123.03,337.4,163.309998
1/18/90,24.34,131.14,338.19,163.5
1/19/90,22.5,129.31,339.15,162.770004
1/22/90,26.7,118.95,330.38,163.570007
1/23/90,24.72,117.94,331.61,161.139999
1/24/90,25.39,128.75,330.26,160.419998
1/25/90,25.63,124.33,326.08,158.169998
1/26/90,26.28,122.76,325.8,157.979996
1/29/90,26.44,124.6,325.2,156.600006
1/30/90,27.25,120.91,322.98,154.949997
1/31/90,25.36,128.22,329.08,152.610001
2/1/90,24.87,129.53,328.79,153.270004
2/2/90,24.32,132.53,330.92,154.369995
2/5/90,24.54,121.22,331.85,156
2/6/90,24.69,120.3,329.66,156.470001
2/7/90,24.29,123.35,333.75,156.889999
2/8/90,23.77,124.87,332.96,158.229996
2/9/90,23.69,126.06,333.62,158.630005
2/12/90,24.38,126.99,330.08,159.130005
2/13/90,23.76,133.06,331.02,158.5
2/14/90,22.05,131.55,332.01,158.179993
2/15/90,19.71,139.07,334.89,158.229996
2/16/90,20.78,136.61,332.72,159.199997
2/20/90,22.78,126.47,327.99,159.309998
2/21/90,23.89,129.17,327.67,157.850006
2/22/90,22.54,124.8,325.7,157.050003
2/23/90,23.69,125.82,324.15,157.789993
2/26/90,23.56,130.69,328.67,156.639999
2/27/90,22.69,131.45,330.26,156.350006
2/28/90,21.99,123.1,331.89,156.839996
3/1/90,21.9,123.96,332.74,157.710007
3/2/90,21.34,126.44,335.54,158.039993
3/5/90,22.03,124.24,333.74,159.190002
3/6/90,20.55,124.86,337.93,159.300003
3/7/90,19.1,121.08,336.95,160.380005
3/8/90,19.74,124.46,340.27,160.889999
3/9/90,20.3,125.6,337.93,162.080002
3/12/90,20.07,129.69,338.67,162.070007
3/13/90,21.05,128.07,336,162.229996
3/14/90,19.65,131.82,336.87,162.059998
3/15/90,18.81,133.02,338.07,162.789993
3/16/90,17.62,136.73,341.91,163.259995
3/19/90,18.29,138.69,343.53,164.210007
3/20/90,19.06,134.2,341.57,164.509995
3/21/90,20.1,132.58,339.74,164.259995
3/22/90,22.74,129.8,335.69,164.240005
3/23/90,20.46,130.76,337.22,162.740005
3/26/90,19.59,129.9,337.63,163.619995
3/27/90,21.01,135.33,341.5,163.809998
3/28/90,19.77,133.51,342,164.070007
3/29/90,18.46,131.2,340.79,163.789993
3/30/90,19.73,111.33,339.94,163.410004
4/2/90,22.84,126.46,338.7,163.630005
4/3/90,20.44,117.63,343.64,162.339996
4/4/90,22.03,114.13,341.09,163.389999
4/5/90,21.21,114.42,340.73,162.839996
4/6/90,21.76,114.91,340.08,162.770004
4/9/90,22.3,117.6,341.37,162.380005
4/10/90,21.69,119.09,342.07,161.460007
4/11/90,17.73,108.87,341.92,161.919998
4/12/90,19.8,121.52,344.34,162.169998
4/16/90,20.75,126.05,344.74,162.570007
4/17/90,20.38,131.24,344.68,162.529999
4/18/90,22.67,122.74,340.72,162.25
4/19/90,22.46,120.77,338.09,161.399994
4/20/90,23.33,120.88,335.12,160.809998
4/23/90,24.16,120.03,331.05,160.050003
4/24/90,21.7,124.56,330.36,158.479996
4/25/90,20.86,127.03,332.03,158.339996
4/26/90,20.25,124.51,332.92,158.630005
4/27/90,22.19,118.84,329.11,158.720001
4/30/90,19.52,110.49,330.8,157.800003
5/1/90,18.43,111.99,332.25,158.089996
5/2/90,19.32,128.49,334.48,158.5
5/3/90,17.81,114.27,335.57,159.119995
5/4/90,17.28,116.35,338.39,159.710007
5/7/90,17.65,117.22,340.53,160.399994
5/8/90,18.49,117.83,342.01,160.729996
5/9/90,18.64,117.27,342.86,160.899994
5/10/90,18.59,119.5,343.82,161.059998
5/11/90,19.81,119.51,352,161.679993
5/14/90,20.14,123.12,354.75,163.130005
